id;visit_date;description;created_by;created_date;last_modified_by;last_modified_date
1;2020-06-26;never greedily aha;pilot;2020-06-26T19:38:08;rare helplessly till;2020-06-27T03:34:16
2;2020-06-26;cleave birdbath case;hunger if numeracy;2020-06-26T09:19:28;pecan;2020-06-26T18:21:36
3;2020-06-27;who elastic;deliberately because;2020-06-27T04:59:20;shakily rotating scented;2020-06-27T06:37:04
4;2020-06-26;jubilantly even;however elegant tidy;2020-06-26T12:35:46;misread rally along;2020-06-26T18:26:29
5;2020-06-27;longingly hoarse;psst ornery amongst;2020-06-26T09:31:20;until;2020-06-27T02:31:18
6;2020-06-27;defenseless modulo sharply;mmm trusting storyboard;2020-06-26T13:47:20;sham hmph;2020-06-26T13:20:07
7;2020-06-26;miserly;gleefully;2020-06-27T03:59:00;how brace on;2020-06-26T10:16:18
8;2020-06-27;on;equate boo though;2020-06-26T23:20:09;gray towards;2020-06-26T22:49:01
9;2020-06-26;pace;ick unless;2020-06-27T06:40:09;puppet huzzah;2020-06-26T08:43:51
10;2020-06-26;apud;mutate blah to;2020-06-26T10:16:34;gadzooks alive;2020-06-27T01:16:52
